SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Oct 29 09:52:48 CDT 2013
User: DOTPAT
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2E7649
Integration Time (usec): 3000 (USB2E7649)
Spectra Averaged: 1 (USB2E7649)
Boxcar Smoothing: 0 (USB2E7649)
Correct for Electrical Dark: Yes (USB2E7649)
Strobe/Lamp Enabled: No (USB2E7649)
Correct for Detector Non-linearity: No (USB2E7649)
Correct for Stray Light: No (USB2E7649)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
370.53	-0.99
370.90	-0.99
371.28	4.01
371.66	8.01
372.03	7.01
372.41	4.01
372.79	2.01
373.16	8.01
373.54	8.01
373.92	5.01
374.29	7.01
374.67	4.01
375.05	7.01
375.42	8.01
375.80	9.01
376.18	7.01
376.55	3.01
376.93	8.01
377.31	6.01
377.68	5.01
378.06	6.01
378.43	11.01
378.81	1.01
379.19	4.01
379.56	7.01
379.94	5.01
380.31	4.01
380.69	3.01
381.07	7.01
381.44	5.01
381.82	10.01
382.19	8.01
382.57	11.01
382.94	7.01
383.32	7.01
383.70	10.01
384.07	12.01
384.45	9.01
384.82	11.01
385.20	10.01
385.57	9.01
385.95	6.01
386.32	7.01
386.70	7.01
387.07	9.01
387.45	7.01
387.83	12.01
388.20	10.01
388.58	7.01
388.95	13.01
389.33	6.01
389.70	8.01
390.08	6.01
390.45	9.01
390.83	9.01
391.20	9.01
391.58	6.01
391.95	8.01
392.32	5.01
392.70	14.01
393.07	13.01
393.45	7.01
393.82	10.01
394.20	7.01
394.57	8.01
394.95	13.01
395.32	12.01
395.70	8.01
396.07	10.01
396.45	9.01
396.82	9.01
397.19	8.01
397.57	14.01
397.94	14.01
398.32	7.01
398.69	10.01
399.07	2.01
399.44	8.01
399.81	13.01
400.19	16.01
400.56	7.01
400.94	11.01
401.31	10.01
401.68	9.01
402.06	13.01
402.43	7.01
402.80	10.01
403.18	7.01
403.55	13.01
403.93	10.01
404.30	10.01
404.67	11.01
405.05	13.01
405.42	7.01
405.79	9.01
406.17	10.01
406.54	12.01
406.91	8.01
407.29	7.01
407.66	17.01
408.03	8.01
408.41	11.01
408.78	11.01
409.15	13.01
409.53	11.01
409.90	6.01
410.27	10.01
410.65	11.01
411.02	5.01
411.39	6.01
411.76	9.01
412.14	7.01
412.51	8.01
412.88	11.01
413.26	10.01
413.63	7.01
414.00	7.01
414.37	8.01
414.75	7.01
415.12	12.01
415.49	11.01
415.86	9.01
416.24	7.01
416.61	10.01
416.98	11.01
417.35	10.01
417.73	6.01
418.10	12.01
418.47	7.01
418.84	10.01
419.21	12.01
419.59	9.01
419.96	8.01
420.33	11.01
420.70	10.01
421.07	11.01
421.45	12.01
421.82	9.01
422.19	8.01
422.56	14.01
422.93	15.01
423.31	10.01
423.68	12.01
424.05	12.01
424.42	12.01
424.79	8.01
425.16	8.01
425.54	6.01
425.91	7.01
426.28	11.01
426.65	11.01
427.02	3.01
427.39	7.01
427.76	7.01
428.13	9.01
428.51	7.01
428.88	7.01
429.25	7.01
429.62	11.01
429.99	8.01
430.36	10.01
430.73	9.01
431.10	9.01
431.47	6.01
431.85	6.01
432.22	10.01
432.59	11.01
432.96	15.01
433.33	13.01
433.70	6.01
434.07	8.01
434.44	9.01
434.81	9.01
435.18	11.01
435.55	6.01
435.92	8.01
436.29	7.01
436.66	13.01
437.03	12.01
437.40	9.01
437.77	12.01
438.14	12.01
438.51	10.01
438.89	13.01
439.26	6.01
439.63	6.01
440.00	11.01
440.37	9.01
440.74	8.01
441.11	15.01
441.48	10.01
441.85	8.01
442.22	7.01
442.58	6.01
442.95	10.01
443.32	13.01
443.69	11.01
444.06	8.01
444.43	8.01
444.80	11.01
445.17	7.01
445.54	9.01
445.91	9.01
446.28	12.01
446.65	14.01
447.02	11.01
447.39	10.01
447.76	16.01
448.13	12.01
448.50	13.01
448.87	10.01
449.23	6.01
449.60	9.01
449.97	17.01
450.34	10.01
450.71	9.01
451.08	13.01
451.45	12.01
451.82	12.01
452.19	5.01
452.56	12.01
452.92	10.01
453.29	13.01
453.66	11.01
454.03	6.01
454.40	5.01
454.77	9.01
455.14	15.01
455.50	9.01
455.87	12.01
456.24	5.01
456.61	9.01
456.98	9.01
457.35	7.01
457.71	5.01
458.08	11.01
458.45	11.01
458.82	9.01
459.19	11.01
